,ALL PEOPLE - Total D,ALL PEOPLE - Living in a couple,ALL PEOPLE - Not living in a couple,Males - Total,Males - Living in a couple,Males - Not living in a couple,Females - Total,Females - Living in a couple,Females - Not living in a couple
,ALL PEOPLE - Total S,ALL PEOPLE - Living in a couple,ALL PEOPLE - Not living in a couple,Males - Total,Males - Living in a couple,Males - Not living in a couple,Females - Total,Females - Living in a couple,Females - Not living in a couple
ALL PEOPLE,    175783,     85860,     89923,     85519,     42956,     42563,     90264,     42904,     47360
    0 to 15,     37685,         3,     37682,     19506,         3,     19503,     18179,         0,     18179
    16 to 19,      9307,       280,      9027,      4623,        89,      4534,      4684,       191,      4493
    20 to 24,      9544,      2265,      7279,      4641,       824,      3817,      4903,      1441,      3462
    25 to 34,     23386,     14581,      8805,     11137,      6821,      4316,     12249,      7760,      4489
    35 to 39,     14326,     10658,      3668,      6778,      5118,      1660,      7548,      5540,      2008
    40 to 44,     13540,     10348,      3192,      6654,      5172,      1482,      6886,      5176,      1710
    45 to 49,     11937,      9340,      2597,      5922,      4655,      1267,      6015,      4685,      1330
    50 to 54,     12576,     10084,      2492,      6282,      5106,      1176,      6294,      4978,      1316
    55 to 59,      9597,      7718,      1879,      4813,      3974,       839,      4784,      3744,      1040
    60 to 64,      8622,      6548,      2074,      4226,      3386,       840,      4396,      3162,      1234
    65 to 69,      8103,      5622,      2481,      3843,      2979,       864,      4260,      2643,      1617
    70 to 74,      6852,      4158,      2694,      3129,      2331,       798,      3723,      1827,      1896
    75 to 79,      5333,      2653,      2680,      2190,      1502,       688,      3143,      1151,      1992
    80 to 84,      3122,      1195,      1927,      1144,       710,       434,      1978,       485,      1493
    85 to 89,      1379,       351,      1028,       476,       242,       234,       903,       109,       794
    90 and over ,       474,        56,       418,       155,        44,       111,       319,        12,       307
